"Dataset","Source","Predator","PredatorWeight(g)","Prey","PreyWeight(g)","density2D(m2)","relativeDensity2D","density3D(m3)","relativeDensity3D","ForagingRate","DataType","SampleSize","DataNumber","Ratio"
3,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,8150,815,,,28,"RawData",10,4,0.4
3,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,8150,815,,,32,"RawData",10,4,0.4
3,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,8150,815,,,36,"RawData",10,4,0.4
3,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,16300,1630,,,28,"RawData",10,3,0.3
3,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,16300,1630,,,32,"RawData",10,3,0.3
3,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,16300,1630,,,36,"RawData",10,3,0.3
4,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,1020,102,,,8,"RawData",10,10,
4,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,1020,102,,,8,"RawData",10,10,
4,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,1020,102,,,8,"RawData",10,10,
4,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,1020,102,,,8,"RawData",10,10,
4,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,1020,102,,,8,"RawData",10,10,
4,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,1020,102,,,8,"RawData",10,10,
4,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,1020,102,,,8,"RawData",10,10,
4,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,1020,102,,,8,"RawData",10,10,
4,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,1020,102,,,8,"RawData",10,10,
4,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,1020,102,,,8,"RawData",10,10,
4,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,2040,204,,,16,"RawData",10,10,
4,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,2040,204,,,16,"RawData",10,10,
4,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,2040,204,,,16,"RawData",10,10,
4,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,2040,204,,,16,"RawData",10,10,
4,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,2040,204,,,16,"RawData",10,10,
4,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,2040,204,,,16,"RawData",10,10,
4,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,2040,204,,,16,"RawData",10,10,
4,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,2040,204,,,16,"RawData",10,10,
4,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,2040,204,,,16,"RawData",10,10,
4,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,2040,204,,,16,"RawData",10,10,
4,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,4070,407,,,20,"RawData",10,4,0.4
4,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,4070,407,,,24,"RawData",10,4,0.4
4,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,4070,407,,,28,"RawData",10,4,0.4
4,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,4070,407,,,32,"RawData",10,4,0.4
4,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,8150,815,,,40,"RawData",10,5,0.5
4,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,8150,815,,,44,"RawData",10,5,0.5
4,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,8150,815,,,48,"RawData",10,5,0.5
4,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,8150,815,,,52,"RawData",10,5,0.5
4,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,8150,815,,,56,"RawData",10,5,0.5
4,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,16300,1630,,,68,"RawData",10,9,0.9
4,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,16300,1630,,,72,"RawData",10,9,0.9
4,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,16300,1630,,,80,"RawData",10,9,0.9
4,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,16300,1630,,,84,"RawData",10,9,0.9
4,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,16300,1630,,,88,"RawData",10,9,0.9
4,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,16300,1630,,,92,"RawData",10,9,0.9
4,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,16300,1630,,,96,"RawData",10,9,0.9
4,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,16300,1630,,,100,"RawData",10,9,0.9
4,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,16300,1630,,,112,"RawData",10,9,0.9
4,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,32600,3260,,,88,"RawData",10,8,0.8
4,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,32600,3260,,,96,"RawData",10,8,0.8
4,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,32600,3260,,,100,"RawData",10,8,0.8
4,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,32600,3260,,,104,"RawData",10,8,0.8
4,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,32600,3260,,,108,"RawData",10,8,0.8
4,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,32600,3260,,,112,"RawData",10,8,0.8
4,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,32600,3260,,,120,"RawData",10,8,0.8
4,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,32600,3260,,,156,"RawData",10,8,0.8
5,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,509,50.9,,,4,"RawData",10,10,
5,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,509,50.9,,,4,"RawData",10,10,
5,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,509,50.9,,,4,"RawData",10,10,
5,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,509,50.9,,,4,"RawData",10,10,
5,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,509,50.9,,,4,"RawData",10,10,
5,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,509,50.9,,,4,"RawData",10,10,
5,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,509,50.9,,,4,"RawData",10,10,
5,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,509,50.9,,,4,"RawData",10,10,
5,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,509,50.9,,,4,"RawData",10,10,
5,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,509,50.9,,,4,"RawData",10,10,
5,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,1020,102,,,4,"RawData",10,2,0.2
5,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,1020,102,,,8,"RawData",10,2,0.2
5,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,2040,204,,,8,"RawData",10,3,0.3
5,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,2040,204,,,12,"RawData",10,3,0.3
5,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,2040,204,,,16,"RawData",10,3,0.3
5,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,4070,407,,,12,"RawData",10,4,0.4
5,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,4070,407,,,16,"RawData",10,4,0.4
5,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,4070,407,,,20,"RawData",10,4,0.4
5,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,4070,407,,,24,"RawData",10,4,0.4
5,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,8150,815,,,16,"RawData",10,6,0.6
5,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,8150,815,,,20,"RawData",10,6,0.6
5,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,8150,815,,,24,"RawData",10,6,0.6
5,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,8150,815,,,28,"RawData",10,6,0.6
5,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,8150,815,,,32,"RawData",10,6,0.6
5,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,8150,815,,,36,"RawData",10,6,0.6
5,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,16300,1630,,,24,"RawData",10,4,0.4
5,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,16300,1630,,,28,"RawData",10,4,0.4
5,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,16300,1630,,,32,"RawData",10,4,0.4
5,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,16300,1630,,,40,"RawData",10,4,0.4
6,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,1020,102,,,8,"RawData",10,10,
6,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,1020,102,,,8,"RawData",10,10,
6,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,1020,102,,,8,"RawData",10,10,
6,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,1020,102,,,8,"RawData",10,10,
6,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,1020,102,,,8,"RawData",10,10,
6,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,1020,102,,,8,"RawData",10,10,
6,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,1020,102,,,8,"RawData",10,10,
6,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,1020,102,,,8,"RawData",10,10,
6,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,1020,102,,,8,"RawData",10,10,
6,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,1020,102,,,8,"RawData",10,10,
6,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,4070,407,,,28,"RawData",10,2,0.2
6,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,4070,407,,,32,"RawData",10,2,0.2
6,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,8150,815,,,48,"RawData",10,5,0.5
6,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,8150,815,,,52,"RawData",10,5,0.5
6,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,8150,815,,,56,"RawData",10,5,0.5
6,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,8150,815,,,60,"RawData",10,5,0.5
6,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,8150,815,,,64,"RawData",10,5,0.5
6,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,16300,1630,,,64,"RawData",10,8,0.8
6,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,16300,1630,,,68,"RawData",10,8,0.8
6,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,16300,1630,,,80,"RawData",10,8,0.8
6,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,16300,1630,,,84,"RawData",10,8,0.8
6,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,16300,1630,,,88,"RawData",10,8,0.8
6,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,16300,1630,,,92,"RawData",10,8,0.8
6,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,16300,1630,,,96,"RawData",10,8,0.8
6,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,16300,1630,,,100,"RawData",10,8,0.8
6,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,32600,3260,,,84,"RawData",10,7,0.7
6,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,32600,3260,,,88,"RawData",10,7,0.7
6,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,32600,3260,,,92,"RawData",10,7,0.7
6,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,32600,3260,,,96,"RawData",10,7,0.7
6,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,32600,3260,,,100,"RawData",10,7,0.7
6,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,32600,3260,,,104,"RawData",10,7,0.7
6,"Hassanpour et al 2010 INS SCI","Chrysoperla carnea",0.01,"Helicoverpa armigera",0.001,32600,3260,,,108,"RawData",10,7,0.7
29,"Rocha and Redaelli 2004","Cosmoclopius nigroannulatus",0.04,"Spartocera dentiventris",0.01,377,94.25,4190,1047.5,1.73,"RawData",10,8,0.8
29,"Rocha and Redaelli 2004","Cosmoclopius nigroannulatus",0.04,"Spartocera dentiventris",0.01,377,94.25,4190,1047.5,1.94,"RawData",10,8,0.8
29,"Rocha and Redaelli 2004","Cosmoclopius nigroannulatus",0.04,"Spartocera dentiventris",0.01,377,94.25,4190,1047.5,2.34,"RawData",10,8,0.8
29,"Rocha and Redaelli 2004","Cosmoclopius nigroannulatus",0.04,"Spartocera dentiventris",0.01,377,94.25,4190,1047.5,3.19,"RawData",10,8,0.8
29,"Rocha and Redaelli 2004","Cosmoclopius nigroannulatus",0.04,"Spartocera dentiventris",0.01,377,94.25,4190,1047.5,3.38,"RawData",10,8,0.8
29,"Rocha and Redaelli 2004","Cosmoclopius nigroannulatus",0.04,"Spartocera dentiventris",0.01,377,94.25,4190,1047.5,3.94,"RawData",10,8,0.8
29,"Rocha and Redaelli 2004","Cosmoclopius nigroannulatus",0.04,"Spartocera dentiventris",0.01,377,94.25,4190,1047.5,4.58,"RawData",10,8,0.8
29,"Rocha and Redaelli 2004","Cosmoclopius nigroannulatus",0.04,"Spartocera dentiventris",0.01,377,94.25,4190,1047.5,4.79,"RawData",10,8,0.8
29,"Rocha and Redaelli 2004","Cosmoclopius nigroannulatus",0.04,"Spartocera dentiventris",0.01,1130,282.5,12600,3150,4.16,"RawData",10,9,0.9
29,"Rocha and Redaelli 2004","Cosmoclopius nigroannulatus",0.04,"Spartocera dentiventris",0.01,1130,282.5,12600,3150,4.4,"RawData",10,9,0.9
29,"Rocha and Redaelli 2004","Cosmoclopius nigroannulatus",0.04,"Spartocera dentiventris",0.01,1130,282.5,12600,3150,5.38,"RawData",10,9,0.9
29,"Rocha and Redaelli 2004","Cosmoclopius nigroannulatus",0.04,"Spartocera dentiventris",0.01,1130,282.5,12600,3150,5.54,"RawData",10,9,0.9
29,"Rocha and Redaelli 2004","Cosmoclopius nigroannulatus",0.04,"Spartocera dentiventris",0.01,1130,282.5,12600,3150,5.83,"RawData",10,9,0.9
29,"Rocha and Redaelli 2004","Cosmoclopius nigroannulatus",0.04,"Spartocera dentiventris",0.01,1130,282.5,12600,3150,6.36,"RawData",10,9,0.9
29,"Rocha and Redaelli 2004","Cosmoclopius nigroannulatus",0.04,"Spartocera dentiventris",0.01,1130,282.5,12600,3150,7.24,"RawData",10,9,0.9
29,"Rocha and Redaelli 2004","Cosmoclopius nigroannulatus",0.04,"Spartocera dentiventris",0.01,1130,282.5,12600,3150,10,"RawData",10,9,0.9
29,"Rocha and Redaelli 2004","Cosmoclopius nigroannulatus",0.04,"Spartocera dentiventris",0.01,1130,282.5,12600,3150,12,"RawData",10,9,0.9
29,"Rocha and Redaelli 2004","Cosmoclopius nigroannulatus",0.04,"Spartocera dentiventris",0.01,1880,470,20900,5225,5.01,"RawData",10,8,0.8
29,"Rocha and Redaelli 2004","Cosmoclopius nigroannulatus",0.04,"Spartocera dentiventris",0.01,1880,470,20900,5225,8.02,"RawData",10,8,0.8
29,"Rocha and Redaelli 2004","Cosmoclopius nigroannulatus",0.04,"Spartocera dentiventris",0.01,1880,470,20900,5225,9.24,"RawData",10,8,0.8
29,"Rocha and Redaelli 2004","Cosmoclopius nigroannulatus",0.04,"Spartocera dentiventris",0.01,1880,470,20900,5225,10.4,"RawData",10,8,0.8
29,"Rocha and Redaelli 2004","Cosmoclopius nigroannulatus",0.04,"Spartocera dentiventris",0.01,1880,470,20900,5225,10.6,"RawData",10,8,0.8
29,"Rocha and Redaelli 2004","Cosmoclopius nigroannulatus",0.04,"Spartocera dentiventris",0.01,1880,470,20900,5225,11.6,"RawData",10,8,0.8
29,"Rocha and Redaelli 2004","Cosmoclopius nigroannulatus",0.04,"Spartocera dentiventris",0.01,1880,470,20900,5225,12.2,"RawData",10,8,0.8
29,"Rocha and Redaelli 2004","Cosmoclopius nigroannulatus",0.04,"Spartocera dentiventris",0.01,1880,470,20900,5225,16.2,"RawData",10,8,0.8
29,"Rocha and Redaelli 2004","Cosmoclopius nigroannulatus",0.04,"Spartocera dentiventris",0.01,2640,660,29300,7325,6.56,"RawData",10,10,1
29,"Rocha and Redaelli 2004","Cosmoclopius nigroannulatus",0.04,"Spartocera dentiventris",0.01,2640,660,29300,7325,7.06,"RawData",10,10,1
29,"Rocha and Redaelli 2004","Cosmoclopius nigroannulatus",0.04,"Spartocera dentiventris",0.01,2640,660,29300,7325,7.41,"RawData",10,10,1
29,"Rocha and Redaelli 2004","Cosmoclopius nigroannulatus",0.04,"Spartocera dentiventris",0.01,2640,660,29300,7325,7.78,"RawData",10,10,1
29,"Rocha and Redaelli 2004","Cosmoclopius nigroannulatus",0.04,"Spartocera dentiventris",0.01,2640,660,29300,7325,8.61,"RawData",10,10,1
29,"Rocha and Redaelli 2004","Cosmoclopius nigroannulatus",0.04,"Spartocera dentiventris",0.01,2640,660,29300,7325,9.16,"RawData",10,10,1
29,"Rocha and Redaelli 2004","Cosmoclopius nigroannulatus",0.04,"Spartocera dentiventris",0.01,2640,660,29300,7325,9.4,"RawData",10,10,1
29,"Rocha and Redaelli 2004","Cosmoclopius nigroannulatus",0.04,"Spartocera dentiventris",0.01,2640,660,29300,7325,12.3,"RawData",10,10,1
29,"Rocha and Redaelli 2004","Cosmoclopius nigroannulatus",0.04,"Spartocera dentiventris",0.01,2640,660,29300,7325,14.1,"RawData",10,10,1
29,"Rocha and Redaelli 2004","Cosmoclopius nigroannulatus",0.04,"Spartocera dentiventris",0.01,2640,660,29300,7325,17.1,"RawData",10,10,1
29,"Rocha and Redaelli 2004","Cosmoclopius nigroannulatus",0.04,"Spartocera dentiventris",0.01,3390,847.5,37700,9425,5.82,"RawData",10,7,0.7
29,"Rocha and Redaelli 2004","Cosmoclopius nigroannulatus",0.04,"Spartocera dentiventris",0.01,3390,847.5,37700,9425,7.42,"RawData",10,7,0.7
29,"Rocha and Redaelli 2004","Cosmoclopius nigroannulatus",0.04,"Spartocera dentiventris",0.01,3390,847.5,37700,9425,7.63,"RawData",10,7,0.7
29,"Rocha and Redaelli 2004","Cosmoclopius nigroannulatus",0.04,"Spartocera dentiventris",0.01,3390,847.5,37700,9425,8.61,"RawData",10,7,0.7
29,"Rocha and Redaelli 2004","Cosmoclopius nigroannulatus",0.04,"Spartocera dentiventris",0.01,3390,847.5,37700,9425,10,"RawData",10,7,0.7
29,"Rocha and Redaelli 2004","Cosmoclopius nigroannulatus",0.04,"Spartocera dentiventris",0.01,3390,847.5,37700,9425,10.4,"RawData",10,7,0.7
29,"Rocha and Redaelli 2004","Cosmoclopius nigroannulatus",0.04,"Spartocera dentiventris",0.01,3390,847.5,37700,9425,10.6,"RawData",10,7,0.7
30,"Rocha and Redaelli 2004","Cosmoclopius nigroannulatus",0.04,"Spartocera dentiventris",0.01,377,94.25,4190,1047.5,1.19,"RawData",10,8,0.8
30,"Rocha and Redaelli 2004","Cosmoclopius nigroannulatus",0.04,"Spartocera dentiventris",0.01,377,94.25,4190,1047.5,1.77,"RawData",10,8,0.8
30,"Rocha and Redaelli 2004","Cosmoclopius nigroannulatus",0.04,"Spartocera dentiventris",0.01,377,94.25,4190,1047.5,2.02,"RawData",10,8,0.8
