stage,prey,density,eaten ,alive
juvenile,N_norvegicus,20,9,11
juvenile,N_norvegicus,20,4,16
juvenile,N_norvegicus,20,11,9
juvenile,N_norvegicus,20,7,13
juvenile,N_norvegicus,20,15,5
juvenile,N_norvegicus,20,15,5
juvenile,N_norvegicus,25,6,19
juvenile,N_norvegicus,25,4,21
juvenile,N_norvegicus,25,9,16
juvenile,N_norvegicus,25,1,24
juvenile,N_norvegicus,25,10,15
juvenile,N_norvegicus,25,6,19
juvenile,N_norvegicus,25,14,11
juvenile,N_norvegicus,25,11,14
juvenile,N_norvegicus,30,7,23
juvenile,N_norvegicus,30,5,25
juvenile,N_norvegicus,30,10,20
juvenile,N_norvegicus,30,2,28
juvenile,N_norvegicus,30,11,19
juvenile,N_norvegicus,30,7,23
juvenile,N_norvegicus,30,16,14
juvenile,N_norvegicus,30,13,17
juvenile,N_norvegicus,35,6,29
juvenile,N_norvegicus,35,3,32
juvenile,N_norvegicus,35,9,26
juvenile,N_norvegicus,35,2,33
juvenile,N_norvegicus,35,10,25
juvenile,N_norvegicus,35,5,30
juvenile,N_norvegicus,35,16,19
juvenile,N_norvegicus,35,14,21
juvenile,N_norvegicus,40,5,35
juvenile,N_norvegicus,40,4,36
juvenile,N_norvegicus,40,6,34
juvenile,N_norvegicus,40,3,37
juvenile,N_norvegicus,40,13,27
juvenile,N_norvegicus,40,5,35
juvenile,N_norvegicus,40,15,25
juvenile,N_norvegicus,40,12,28
juvenile,N_norvegicus,45,7,38
juvenile,N_norvegicus,45,2,43
juvenile,N_norvegicus,45,7,38
juvenile,N_norvegicus,45,3,42
juvenile,N_norvegicus,45,12,33
juvenile,N_norvegicus,45,5,40
juvenile,N_norvegicus,45,17,28
juvenile,N_norvegicus,45,14,31
juvenile,N_norvegicus,50,7,43
juvenile,N_norvegicus,50,3,47
juvenile,N_norvegicus,50,8,42
juvenile,N_norvegicus,50,3,47
juvenile,N_norvegicus,50,11,39
juvenile,N_norvegicus,50,4,46
juvenile,N_norvegicus,50,16,34
juvenile,N_norvegicus,50,13,37
juvenile,N_norvegicus,55,5,50
juvenile,N_norvegicus,55,4,51
juvenile,N_norvegicus,55,9,46
juvenile,N_norvegicus,55,3,52
juvenile,N_norvegicus,55,9,46
juvenile,N_norvegicus,55,7,48
juvenile,N_norvegicus,55,16,39
juvenile,N_norvegicus,55,13,42
juvenile,N_norvegicus,60,6,54
juvenile,N_norvegicus,60,3,57
juvenile,N_norvegicus,60,11,49
juvenile,N_norvegicus,60,3,57
juvenile,N_norvegicus,60,8,52
juvenile,N_norvegicus,60,7,53
juvenile,N_norvegicus,60,16,44
juvenile,N_norvegicus,60,12,48
adult,G_oceanicus,2,2,0
adult,G_oceanicus,2,2,0
adult,G_oceanicus,2,2,0
adult,G_oceanicus,2,2,0
adult,G_oceanicus,2,2,0
adult,G_oceanicus,2,2,0
adult,G_oceanicus,2,2,0
adult,G_oceanicus,2,2,0
adult,G_oceanicus,4,4,0
adult,G_oceanicus,4,4,0
adult,G_oceanicus,4,4,0
adult,G_oceanicus,4,4,0
adult,G_oceanicus,4,3,1
adult,G_oceanicus,4,4,0
adult,G_oceanicus,4,4,0
adult,G_oceanicus,4,4,0
adult,G_oceanicus,6,6,0
adult,G_oceanicus,6,6,0
adult,G_oceanicus,6,4,2
adult,G_oceanicus,6,6,0
adult,G_oceanicus,6,6,0
adult,G_oceanicus,6,6,0
adult,G_oceanicus,6,6,0
adult,G_oceanicus,6,6,0
adult,G_oceanicus,8,8,0
adult,G_oceanicus,8,8,0
adult,G_oceanicus,8,8,0
adult,G_oceanicus,8,8,0
adult,G_oceanicus,8,8,0
adult,G_oceanicus,8,6,2
adult,G_oceanicus,8,8,0
adult,G_oceanicus,8,8,0
adult,G_oceanicus,12,12,0
adult,G_oceanicus,12,12,0
adult,G_oceanicus,12,12,0
adult,G_oceanicus,12,10,2
adult,G_oceanicus,12,12,0
adult,G_oceanicus,12,7,5
adult,G_oceanicus,12,12,0
adult,G_oceanicus,12,12,0
adult,G_oceanicus,16,16,0
adult,G_oceanicus,16,16,0
adult,G_oceanicus,16,16,0
adult,G_oceanicus,16,10,6
adult,G_oceanicus,16,16,0
adult,G_oceanicus,16,6,10
adult,G_oceanicus,16,15,1
adult,G_oceanicus,16,16,0
adult,G_oceanicus,20,20,0
adult,G_oceanicus,20,15,5
adult,G_oceanicus,20,20,0
adult,G_oceanicus,20,11,9
adult,G_oceanicus,20,20,0
adult,G_oceanicus,20,7,13
adult,G_oceanicus,20,19,1
adult,G_oceanicus,20,19,1
adult,G_oceanicus,25,25,0
adult,G_oceanicus,25,15,10
adult,G_oceanicus,25,20,5
adult,G_oceanicus,25,12,13
adult,G_oceanicus,25,25,0
adult,G_oceanicus,25,5,20
adult,G_oceanicus,25,24,1
adult,G_oceanicus,25,23,2
adult,G_oceanicus,30,29,1
adult,G_oceanicus,30,14,16
adult,G_oceanicus,30,21,9
adult,G_oceanicus,30,10,20
adult,G_oceanicus,30,30,0
adult,G_oceanicus,30,6,24
adult,G_oceanicus,30,25,5
adult,G_oceanicus,30,24,6
adult,G_oceanicus,35,35,0
adult,G_oceanicus,35,16,19
adult,G_oceanicus,35,22,13
adult,G_oceanicus,35,12,23
adult,G_oceanicus,35,31,4
adult,G_oceanicus,35,6,29
adult,G_oceanicus,35,22,13
adult,G_oceanicus,35,25,10
adult,G_oceanicus,40,31,9
adult,G_oceanicus,40,15,25
adult,G_oceanicus,40,20,20
adult,G_oceanicus,40,11,29
adult,G_oceanicus,40,33,7
adult,G_oceanicus,40,7,33
adult,G_oceanicus,40,24,16
adult,G_oceanicus,40,25,15
adult,G_oceanicus,45,30,15
adult,G_oceanicus,45,14,31
adult,G_oceanicus,45,19,26
adult,G_oceanicus,45,10,35
adult,G_oceanicus,45,31,14
adult,G_oceanicus,45,6,39
adult,G_oceanicus,45,24,21
adult,G_oceanicus,45,22,23
adult,G_oceanicus,50,28,22
adult,G_oceanicus,50,16,34
adult,G_oceanicus,50,20,30
adult,G_oceanicus,50,10,40
adult,G_oceanicus,50,32,18
adult,G_oceanicus,50,5,45
adult,G_oceanicus,50,24,26
adult,G_oceanicus,50,23,27
adult,G_oceanicus,55,33,22
adult,G_oceanicus,55,15,40
adult,G_oceanicus,55,20,35
adult,G_oceanicus,55,9,46
adult,G_oceanicus,55,30,25
adult,G_oceanicus,55,6,49
adult,G_oceanicus,55,23,32
adult,G_oceanicus,55,24,31
adult,G_oceanicus,60,28,32
adult,G_oceanicus,60,15,45
adult,G_oceanicus,60,19,41
adult,G_oceanicus,60,10,50
adult,G_oceanicus,60,29,31
adult,G_oceanicus,60,6,54
adult,G_oceanicus,60,25,35
adult,G_oceanicus,60,21,39
adult,P_varians,2,2,0
adult,P_varians,2,2,0
adult,P_varians,2,2,0
adult,P_varians,2,2,0
adult,P_varians,2,2,0
adult,P_varians,2,2,0
adult,P_varians,2,2,0
adult,P_varians,2,2,0
adult,P_varians,4,4,0
adult,P_varians,4,3,1
adult,P_varians,4,4,0
adult,P_varians,4,4,0
adult,P_varians,4,4,0
adult,P_varians,4,4,0
adult,P_varians,4,4,0
adult,P_varians,4,4,0
adult,P_varians,6,6,0
adult,P_varians,6,6,0
adult,P_varians,6,6,0
adult,P_varians,6,6,0
adult,P_varians,6,6,0
adult,P_varians,6,6,0
adult,P_varians,6,5,1
adult,P_varians,6,6,0
adult,P_varians,8,8,0
adult,P_varians,8,8,0
adult,P_varians,8,8,0
adult,P_varians,8,8,0
adult,P_varians,8,8,0
adult,P_varians,8,8,0
adult,P_varians,8,8,0
adult,P_varians,8,8,0
adult,P_varians,12,12,0
adult,P_varians,12,12,0
adult,P_varians,12,12,0
adult,P_varians,12,12,0
adult,P_varians,12,11,1
adult,P_varians,12,12,0
adult,P_varians,12,12,0
adult,P_varians,12,12,0
adult,P_varians,16,16,0
adult,P_varians,16,12,4
adult,P_varians,16,16,0
adult,P_varians,16,16,0
adult,P_varians,16,15,1
adult,P_varians,16,16,0
adult,P_varians,16,16,0
adult,P_varians,16,15,1
adult,P_varians,20,20,0
adult,P_varians,20,13,7
adult,P_varians,20,20,0
adult,P_varians,20,20,0
adult,P_varians,20,20,0
adult,P_varians,20,16,4
adult,P_varians,20,20,0
adult,P_varians,20,20,0
adult,P_varians,25,25,0
adult,P_varians,25,14,11
adult,P_varians,25,25,0
adult,P_varians,25,25,0
adult,P_varians,25,20,5
adult,P_varians,25,15,10
adult,P_varians,25,25,0
adult,P_varians,25,24,1
adult,P_varians,30,30,0
adult,P_varians,30,12,18
adult,P_varians,30,30,0
adult,P_varians,30,30,0
adult,P_varians,30,21,9
adult,P_varians,30,14,16
adult,P_varians,30,30,0
adult,P_varians,30,30,0
adult,P_varians,35,32,3
adult,P_varians,35,11,24
adult,P_varians,35,29,6
adult,P_varians,35,30,5
adult,P_varians,35,22,13
adult,P_varians,35,16,19
adult,P_varians,35,31,4
adult,P_varians,35,34,1
adult,P_varians,40,39,1
adult,P_varians,40,13,27
adult,P_varians,40,30,10
adult,P_varians,40,30,10
adult,P_varians,40,19,21
adult,P_varians,40,17,23
adult,P_varians,40,33,7
adult,P_varians,40,35,5
adult,P_varians,45,40,5
adult,P_varians,45,12,33
adult,P_varians,45,31,14
adult,P_varians,45,31,14
adult,P_varians,45,21,24
adult,P_varians,45,15,30
adult,P_varians,45,32,13
adult,P_varians,45,32,13
adult,P_varians,50,34,16
adult,P_varians,50,14,36
adult,P_varians,50,29,21
adult,P_varians,50,30,20
adult,P_varians,50,22,28
adult,P_varians,50,16,34
adult,P_varians,50,31,19
adult,P_varians,50,29,21
adult,P_varians,55,30,25
adult,P_varians,55,12,43
adult,P_varians,55,30,25
adult,P_varians,55,28,27
adult,P_varians,55,20,35
adult,P_varians,55,15,40
adult,P_varians,55,32,23
adult,P_varians,55,31,24
adult,P_varians,60,39,21
adult,P_varians,60,13,47
adult,P_varians,60,31,29
adult,P_varians,60,29,31
adult,P_varians,60,19,41
adult,P_varians,60,15,45
adult,P_varians,60,31,29
adult,P_varians,60,29,31
adult,N_norvegicus,2,2,0
adult,N_norvegicus,2,2,0
adult,N_norvegicus,2,2,0
adult,N_norvegicus,2,2,0
adult,N_norvegicus,2,2,0
adult,N_norvegicus,2,2,0
adult,N_norvegicus,2,2,0
adult,N_norvegicus,2,2,0
adult,N_norvegicus,4,4,0
adult,N_norvegicus,4,4,0
adult,N_norvegicus,4,4,0
adult,N_norvegicus,4,4,0
adult,N_norvegicus,4,4,0
adult,N_norvegicus,4,3,1
adult,N_norvegicus,4,4,0
adult,N_norvegicus,4,4,0
adult,N_norvegicus,6,6,0
adult,N_norvegicus,6,6,0
adult,N_norvegicus,6,6,0
adult,N_norvegicus,6,6,0
adult,N_norvegicus,6,6,0
adult,N_norvegicus,6,5,1
adult,N_norvegicus,6,6,0
adult,N_norvegicus,6,6,0
adult,N_norvegicus,8,8,0
adult,N_norvegicus,8,8,0
adult,N_norvegicus,8,8,0
adult,N_norvegicus,8,8,0
adult,N_norvegicus,8,7,1
adult,N_norvegicus,8,8,0
adult,N_norvegicus,8,7,1
adult,N_norvegicus,8,8,0
adult,N_norvegicus,12,12,0
adult,N_norvegicus,12,12,0
adult,N_norvegicus,12,12,0
adult,N_norvegicus,12,12,0
adult,N_norvegicus,12,11,1
adult,N_norvegicus,12,12,0
adult,N_norvegicus,12,12,0
adult,N_norvegicus,12,12,0
adult,N_norvegicus,16,16,0
adult,N_norvegicus,16,16,0
adult,N_norvegicus,16,16,0
adult,N_norvegicus,16,15,1
adult,N_norvegicus,16,16,0
adult,N_norvegicus,16,16,0
adult,N_norvegicus,16,15,1
adult,N_norvegicus,16,16,0
adult,N_norvegicus,20,19,1
adult,N_norvegicus,20,20,0
adult,N_norvegicus,20,20,0
adult,N_norvegicus,20,20,0
adult,N_norvegicus,20,19,1
adult,N_norvegicus,20,20,0
adult,N_norvegicus,20,20,0
adult,N_norvegicus,20,19,1
adult,N_norvegicus,25,25,0
adult,N_norvegicus,25,25,0
adult,N_norvegicus,25,25,0
adult,N_norvegicus,25,25,0
adult,N_norvegicus,25,24,1
adult,N_norvegicus,25,22,3
adult,N_norvegicus,25,25,0
adult,N_norvegicus,25,25,0
adult,N_norvegicus,30,29,1
adult,N_norvegicus,30,24,6
adult,N_norvegicus,30,30,0
adult,N_norvegicus,30,30,0
adult,N_norvegicus,30,30,0
adult,N_norvegicus,30,21,9
adult,N_norvegicus,30,30,0
adult,N_norvegicus,30,30,0
adult,N_norvegicus,35,34,1
adult,N_norvegicus,35,25,10
adult,N_norvegicus,35,35,0
adult,N_norvegicus,35,35,0
adult,N_norvegicus,35,31,4
adult,N_norvegicus,35,23,12
adult,N_norvegicus,35,35,0
adult,N_norvegicus,35,35,0
adult,N_norvegicus,40,33,7
adult,N_norvegicus,40,24,16
adult,N_norvegicus,40,38,2
adult,N_norvegicus,40,37,3
adult,N_norvegicus,40,32,8
adult,N_norvegicus,40,22,18
adult,N_norvegicus,40,39,1
adult,N_norvegicus,40,38,2
adult,N_norvegicus,45,35,10
adult,N_norvegicus,45,38,7
adult,N_norvegicus,45,42,3
adult,N_norvegicus,45,45,0
adult,N_norvegicus,45,33,12
adult,N_norvegicus,45,21,24
adult,N_norvegicus,45,33,12
adult,N_norvegicus,45,34,11
adult,N_norvegicus,50,34,16
adult,N_norvegicus,50,25,25
adult,N_norvegicus,50,43,7
adult,N_norvegicus,50,50,0
adult,N_norvegicus,50,32,18
adult,N_norvegicus,50,30,20
adult,N_norvegicus,50,34,16
adult,N_norvegicus,50,32,18
adult,N_norvegicus,55,33,22
adult,N_norvegicus,55,23,32
adult,N_norvegicus,55,44,11
adult,N_norvegicus,55,51,4
adult,N_norvegicus,55,32,23
adult,N_norvegicus,55,31,24
adult,N_norvegicus,55,30,25
adult,N_norvegicus,55,31,24
adult,N_norvegicus,60,34,26
adult,N_norvegicus,60,24,36
adult,N_norvegicus,60,43,17
adult,N_norvegicus,60,53,7
adult,N_norvegicus,60,31,29
adult,N_norvegicus,60,29,31
adult,N_norvegicus,60,29,31
adult,N_norvegicus,60,31,29
