Block,Spider_ID,Stage,Spider_ wgt,Pre-treatment_flies,Test_flies,Density,Day1,Day2,Day3,Day4,Day5,Day6,Day7,Total,R
1,23,Adult,0.033,Suc,Cas,15,9,1,2,3,2,3,1,21,3.47222222222222E-05
1,24,Adult,0.0311,Suc,Cas,15,9,7,1,3,4,1,2,27,4.46428571428571E-05
2,22,Adult,0.0341,Suc,Cas,15,13,13,6,6,3,1,6,48,7.93650793650794E-05
2,23,Adult,0.0201,Suc,Cas,15,7,5,8,5,8,3,4,40,6.61375661375661E-05
2,24,Adult,0.027,Suc,Cas,15,6,5,6,6,7,11,8,49,8.10185185185185E-05
1,25,Adult,0.0287,Cas,Cas,2,2,2,2,2,2,2,2,14,2.31481481481481E-05
1,26,Adult,0.0276,Cas,Cas,2,2,2,2,2,2,2,2,14,2.31481481481481E-05
1,27,Adult,0.0287,Cas,Cas,2,2,2,2,2,2,2,2,14,2.31481481481481E-05
2,26,Adult,0.0293,Cas,Cas,2,2,2,2,2,2,2,2,14,2.31481481481481E-05
2,27,Adult,0.0298,Cas,Cas,2,2,2,2,2,2,2,2,14,2.31481481481481E-05
1,28,Adult,0.0324,Cas,Cas,5,4,5,5,5,5,5,5,34,5.62169312169312E-05
1,30,Adult,0.0302,Cas,Cas,5,5,1,3,5,5,3,0,22,3.63756613756614E-05
2,29,Adult,0.0294,Cas,Cas,5,5,5,5,5,5,5,5,35,5.78703703703704E-05
2,30,Adult,0.0322,Cas,Cas,5,5,5,5,5,5,5,5,35,5.78703703703704E-05
1,31,Adult,0.027,Cas,Cas,10,7,4,4,2,2,2,3,24,3.96825396825397E-05
1,32,Adult,0.0421,Cas,Cas,10,10,8,10,9,9,7,9,62,0.000102513227513
1,33,Adult,0.0266,Cas,Cas,10,10,9,8,10,9,4,6,56,9.25925925925926E-05
2,31,Adult,0.0253,Cas,Cas,10,9,4,2,6,0,4,7,32,5.29100529100529E-05
2,32,Adult,0.02,Cas,Cas,10,6,2,4,1,2,2,5,22,3.63756613756614E-05
2,33,Adult,0.0306,Cas,Cas,10,6,2,5,8,3,1,0,25,4.13359788359788E-05
1,34,Adult,0.0289,Cas,Cas,15,15,15,15,14,4,1,8,72,0.000119047619048
1,35,Adult,0.0264,Cas,Cas,15,10,1,6,5,5,3,4,34,5.62169312169312E-05
1,36,Adult,0.0266,Cas,Cas,15,14,8,7,7,10,4,8,58,9.58994708994709E-05
2,34,Adult,0.0301,Cas,Cas,15,8,5,10,10,8,2,2,45,7.44047619047619E-05
2,35,Adult,0.0293,Cas,Cas,15,6,4,6,9,13,13,8,59,9.75529100529101E-05
1,37,Adult,0.0327,Cas,Suc,2,2,2,2,2,2,2,2,14,2.31481481481481E-05
1,38,Adult,0.0336,Cas,Suc,2,2,2,2,2,2,2,2,14,2.31481481481481E-05
1,39,Adult,0.0276,Cas,Suc,2,2,2,2,2,2,2,2,14,2.31481481481481E-05
2,38,Adult,0.0236,Cas,Suc,2,2,2,2,2,2,2,1,13,2.1494708994709E-05
2,39,Adult,0.02,Cas,Suc,2,2,1,1,2,2,2,2,12,1.98412698412698E-05
1,40,Adult,0.0306,Cas,Suc,5,5,5,4,4,5,4,5,32,5.29100529100529E-05
1,41,Adult,0.0273,Cas,Suc,5,5,5,5,5,5,5,5,35,5.78703703703704E-05
1,42,Adult,0.0212,Cas,Suc,5,5,5,2,4,5,3,1,25,4.13359788359788E-05
2,40,Adult,0.0315,Cas,Suc,5,5,5,5,5,5,5,5,35,5.78703703703704E-05
2,41,Adult,0.0225,Cas,Suc,5,5,5,3,4,3,5,2,27,4.46428571428571E-05
2,42,Adult,0.0306,Cas,Suc,5,1,0,1,0,0,0,0,2,3.30687830687831E-06
1,43,Adult,0.032,Cas,Suc,10,10,10,7,3,2,8,1,41,6.77910052910053E-05
1,44,Adult,0.0357,Cas,Suc,10,10,10,10,10,10,10,9,69,0.000114087301587
2,43,Adult,0.0337,Cas,Suc,10,9,7,8,8,4,5,2,43,7.10978835978836E-05
2,44,Adult,0.0307,Cas,Suc,10,5,3,7,3,5,6,8,37,6.11772486772487E-05
2,45,Adult,0.0225,Cas,Suc,10,7,4,3,6,2,5,6,33,5.45634920634921E-05
1,46,Adult,0.0266,Cas,Suc,15,4,7,5,8,7,1,4,36,5.95238095238095E-05
1,47,Adult,0.0363,Cas,Suc,15,15,10,5,6,4,2,1,43,7.10978835978836E-05
1,48,Adult,0.0241,Cas,Suc,15,4,4,3,4,1,3,2,21,3.47222222222222E-05
2,46,Adult,0.0301,Cas,Suc,15,7,9,0,2,3,6,4,31,5.12566137566138E-05
2,47,Adult,0.0312,Cas,Suc,15,7,3,2,1,1,9,5,28,4.62962962962963E-05
2,48,Adult,0.0277,Cas,Suc,15,10,5,2,3,3,9,4,36,5.95238095238095E-05
1,1,Subadult,0.0232,Suc,Suc,1,1,1,0,1,1,1,1,6,9.92063492063492E-06
1,2,Subadult,0.0193,Suc,Suc,1,1,1,1,1,0,1,1,6,9.92063492063492E-06
1,3,Subadult,0.0249,Suc,Suc,1,0,1,0,0,0,0,0,1,1.65343915343915E-06
2,1,Subadult,0.0161,Suc,Suc,1,1,1,1,1,0,0,1,5,8.26719576719577E-06
2,2,Subadult,0.0086,Suc,Suc,1,1,1,0,1,1,1,1,6,9.92063492063492E-06
2,3,Subadult,0.0136,Suc,Suc,1,1,1,1,1,1,0,1,6,9.92063492063492E-06
1,4,Subadult,0.0256,Suc,Suc,3,3,2,1,1,0,1,3,11,1.81878306878307E-05
1,5,Subadult,0.0214,Suc,Suc,3,3,2,0,1,0,0,0,6,9.92063492063492E-06
1,6,Subadult,0.0278,Suc,Suc,3,3,3,3,3,0,0,0,12,1.98412698412698E-05
2,4,Subadult,0.0122,Suc,Suc,3,1,1,0,1,0,0,3,6,9.92063492063492E-06
2,5,Subadult,0.0224,Suc,Suc,3,2,3,0,0,0,0,1,6,9.92063492063492E-06
2,6,Subadult,0.0241,Suc,Suc,3,2,3,3,2,2,2,0,14,2.31481481481481E-05
1,7,Subadult,0.0203,Suc,Suc,5,4,3,1,0,0,0,0,8,1.32275132275132E-05
1,8,Subadult,0.0207,Suc,Suc,5,4,3,1,2,0,2,2,14,2.31481481481481E-05
1,9,Subadult,0.0213,Suc,Suc,5,2,1,1,1,2,1,0,8,1.32275132275132E-05
2,7,Subadult,0.0154,Suc,Suc,5,3,1,1,3,0,0,0,8,1.32275132275132E-05
2,8,Subadult,0.0255,Suc,Suc,5,5,5,1,1,2,1,0,15,2.48015873015873E-05
2,9,Subadult,0.0201,Suc,Suc,5,3,3,3,1,2,1,0,13,2.1494708994709E-05
1,10,Subadult,0.0195,Suc,Suc,8,3,1,0,1,0,0,0,5,8.26719576719577E-06
1,11,Subadult,0.0191,Suc,Suc,8,5,2,2,3,0,2,2,16,2.64550264550265E-05
1,12,Subadult,0.0206,Suc,Suc,8,1,2,0,0,0,1,2,6,9.92063492063492E-06
2,10,Subadult,0.0203,Suc,Suc,8,7,2,2,1,0,1,0,13,2.1494708994709E-05
2,11,Subadult,0.0202,Suc,Suc,8,3,3,1,3,1,4,4,19,3.14153439153439E-05
2,12,Subadult,0.0217,Suc,Suc,8,5,1,5,3,3,2,0,19,3.14153439153439E-05
1,13,Subadult,0.0205,Suc,Cas,1,1,1,1,1,1,1,1,7,1.15740740740741E-05
1,14,Subadult,0.0231,Suc,Cas,1,1,1,1,0,1,0,0,4,6.61375661375661E-06
1,15,Subadult,0.0217,Suc,Cas,1,1,1,1,1,1,0,0,5,8.26719576719577E-06
2,13,Subadult,0.013,Suc,Cas,1,0,0,0,1,0,0,1,2,3.30687830687831E-06
2,14,Subadult,0.0149,Suc,Cas,1,1,1,1,0,0,1,1,5,8.26719576719577E-06
2,15,Subadult,0.016,Suc,Cas,1,1,1,0,1,1,1,1,6,9.92063492063492E-06
1,16,Subadult,0.0247,Suc,Cas,3,3,2,0,1,0,0,1,7,1.15740740740741E-05
1,17,Subadult,0.0221,Suc,Cas,3,0,0,2,1,3,3,0,9,1.48809523809524E-05
1,18,Subadult,0.0266,Suc,Cas,3,3,3,3,1,0,0,1,11,1.81878306878307E-05
2,16,Subadult,0.0217,Suc,Cas,3,3,2,0,1,1,0,1,8,1.32275132275132E-05
2,17,Subadult,0.0187,Suc,Cas,3,3,2,0,0,0,0,0,5,8.26719576719577E-06
2,18,Subadult,0.0205,Suc,Cas,3,3,2,0,0,1,0,0,6,9.92063492063492E-06
1,19,Subadult,0.0215,Suc,Cas,5,4,4,2,1,2,0,0,13,2.1494708994709E-05
1,21,Subadult,0.0182,Suc,Cas,5,4,3,0,1,2,0,2,12,1.98412698412698E-05
2,19,Subadult,0.0146,Suc,Cas,5,5,3,4,3,2,3,3,23,3.80291005291005E-05
2,20,Subadult,0.0182,Suc,Cas,5,5,0,0,0,1,1,1,8,1.32275132275132E-05
2,21,Subadult,0.0236,Suc,Cas,5,3,2,0,0,0,0,0,5,8.26719576719577E-06
1,22,Subadult,0.0231,Suc,Cas,8,3,0,0,0,0,1,0,4,6.61375661375661E-06
1,23,Subadult,0.0214,Suc,Cas,8,3,2,0,0,1,2,3,11,1.81878306878307E-05
1,24,Subadult,0.0167,Suc,Cas,8,1,0,0,0,0,0,0,1,1.65343915343915E-06
2,23,Subadult,0.0305,Suc,Cas,8,0,0,0,1,4,8,8,21,3.47222222222222E-05
2,24,Subadult,0.0205,Suc,Cas,8,3,0,1,1,1,0,1,7,1.15740740740741E-05
1,25,Subadult,0.0223,Cas,Cas,1,1,1,1,1,1,1,1,7,1.15740740740741E-05
1,26,Subadult,0.0172,Cas,Cas,1,1,1,1,1,1,1,1,7,1.15740740740741E-05
1,27,Subadult,0.0286,Cas,Cas,1,0,1,1,1,1,1,1,6,9.92063492063492E-06
2,25,Subadult,0.0156,Cas,Cas,1,1,1,1,1,1,1,1,7,1.15740740740741E-05
2,26,Subadult,0.0196,Cas,Cas,1,1,1,1,1,1,1,1,7,1.15740740740741E-05
2,27,Subadult,0.0169,Cas,Cas,1,1,1,1,1,1,1,1,7,1.15740740740741E-05
1,28,Subadult,0.0204,Cas,Cas,3,2,0,0,0,1,1,0,4,6.61375661375661E-06
1,29,Subadult,0.0165,Cas,Cas,3,3,3,3,1,1,0,0,11,1.81878306878307E-05
1,30,Subadult,0.0287,Cas,Cas,3,1,0,0,1,3,0,0,5,8.26719576719577E-06
2,28,Subadult,0.0108,Cas,Cas,3,3,3,0,2,2,1,0,11,1.81878306878307E-05
2,29,Subadult,0.0116,Cas,Cas,3,1,1,0,0,1,0,0,3,4.96031746031746E-06
2,30,Subadult,0.0129,Cas,Cas,3,2,0,0,0,0,2,1,5,8.26719576719577E-06
1,31,Subadult,0.0099,Cas,Cas,5,4,1,1,2,1,5,1,15,2.48015873015873E-05
1,32,Subadult,0.0203,Cas,Cas,5,5,5,0,0,0,3,0,13,2.1494708994709E-05
1,33,Subadult,0.0109,Cas,Cas,5,2,3,1,0,2,5,1,14,2.31481481481481E-05
2,31,Subadult,0.0258,Cas,Cas,5,1,1,0,0,0,1,2,5,8.26719576719577E-06
2,32,Subadult,0.0213,Cas,Cas,5,3,3,1,0,0,0,0,7,1.15740740740741E-05
2,33,Subadult,0.0265,Cas,Cas,5,5,4,0,0,0,0,0,9,1.48809523809524E-05
1,34,Subadult,0.013,Cas,Cas,8,8,0,0,1,2,3,0,14,2.31481481481481E-05
1,35,Subadult,0.0144,Cas,Cas,8,3,0,2,1,2,1,4,13,2.1494708994709E-05
1,36,Subadult,0.016,Cas,Cas,8,4,3,0,1,1,2,4,15,2.48015873015873E-05
2,34,Subadult,0.0146,Cas,Cas,8,5,1,2,0,1,0,1,10,1.65343915343915E-05
2,35,Subadult,0.0124,Cas,Cas,8,2,0,0,0,0,0,1,3,4.96031746031746E-06
2,36,Subadult,0.0183,Cas,Cas,8,2,2,0,0,1,0,0,5,8.26719576719577E-06
1,37,Subadult,0.0117,Cas,Suc,1,1,1,1,1,1,1,0,6,9.92063492063492E-06
1,38,Subadult,0.0209,Cas,Suc,1,1,1,1,1,1,1,1,7,1.15740740740741E-05
1,39,Subadult,0.0163,Cas,Suc,1,1,1,1,0,1,0,0,4,6.61375661375661E-06
2,37,Subadult,0.0253,Cas,Suc,1,1,1,1,1,1,0,0,5,8.26719576719577E-06
1,40,Subadult,0.0219,Cas,Suc,3,3,3,3,3,1,3,2,18,2.97619047619048E-05
1,41,Subadult,0.0168,Cas,Suc,3,3,3,3,3,3,0,2,17,2.81084656084656E-05
1,42,Subadult,0.0201,Cas,Suc,3,3,2,1,2,0,0,0,8,1.32275132275132E-05
2,40,Subadult,0.0122,Cas,Suc,3,2,2,1,1,0,1,0,7,1.15740740740741E-05
2,41,Subadult,0.0253,Cas,Suc,3,2,2,3,3,3,2,1,16,2.64550264550265E-05
2,42,Subadult,0.0101,Cas,Suc,3,2,1,2,1,1,0,0,7,1.15740740740741E-05
1,43,Subadult,0.0209,Cas,Suc,5,5,5,1,2,1,2,0,16,2.64550264550265E-05
1,44,Subadult,0.02,Cas,Suc,5,4,2,2,5,0,0,0,13,2.1494708994709E-05
1,45,Subadult,0.0197,Cas,Suc,5,5,4,3,2,3,3,0,20,3.30687830687831E-05
2,43,Subadult,0.0226,Cas,Suc,5,4,0,0,0,0,0,1,5,8.26719576719577E-06
2,44,Subadult,0.0192,Cas,Suc,5,1,1,0,0,0,0,0,2,3.30687830687831E-06
2,45,Subadult,0.0178,Cas,Suc,5,2,1,0,0,0,0,0,3,4.96031746031746E-06
1,46,Subadult,0.0214,Cas,Suc,8,5,4,2,2,2,2,1,18,2.97619047619048E-05
1,47,Subadult,0.02,Cas,Suc,8,7,3,2,2,0,1,0,15,2.48015873015873E-05
1,48,Subadult,0.0213,Cas,Suc,8,4,5,0,3,0,0,0,12,1.98412698412698E-05
2,46,Subadult,0.0204,Cas,Suc,8,3,3,1,0,0,1,1,9,1.48809523809524E-05
2,47,Subadult,0.0256,Cas,Suc,8,4,0,1,0,0,0,0,5,8.26719576719577E-06
2,48,Subadult,0.0202,Cas,Suc,8,0,0,0,0,0,8,1,9,1.48809523809524E-05
